scifi,cosine_char32017-02-10.txt,cosine_char42017-02-10.txt,cosine_char62017-02-10.txt,cosine_char82017-02-10.txt,CovTestcosine&char2017-02-10.txt,CovTestcosine&rarewords2017-02-10.txt,CovTestcosine&words2017-02-10.txt,CovTestinter&char2017-02-10.txt,CovTestinter&rarewords2017-02-10.txt,CovTestinter&words2017-02-10.txt,CovTestmanh&char2017-02-10.txt,CovTestmanh&rarewords2017-02-10.txt,CovTestmanh&words2017-02-10.txt,CovTestWEKA&char2017-02-10.txt,CovTestWEKA&rarewords2017-02-10.txt,CovTestWEKA&Words2017-02-10.txt,inter_Char32017-02-10.txt,inter_Char42017-02-10.txt,inter_Char62017-02-10.txt,inter_Char82017-02-10.txt,manh_Char32017-02-10.txt,manh_Char42017-02-10.txt,manh_Char62017-02-10.txt,manh_Char82017-02-10.txt
cosine_char32017-02-10.txt,1.0,0.05246913580246915,0.0,0.0,-0.0030864197530864335,0.024691358024691357,0.043209876543209846,0.024691358024691357,0.009259259259259273,0.009259259259259273,-0.015432098765432056,0.018518518518518545,0.05246913580246915,-0.01851851851851838,-0.015432098765432056,-0.01851851851851838,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.0,0.0,0.0,0.05246913580246915
cosine_char42017-02-10.txt,0.05246913580246915,1.0,0.0,0.0,-0.0030864197530864335,0.024691358024691357,0.043209876543209846,0.024691358024691357,0.009259259259259273,0.009259259259259273,-0.015432098765432056,0.018518518518518545,0.05246913580246915,-0.01851851851851838,-0.015432098765432056,-0.01851851851851838,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.0,0.0,0.0,0.05246913580246915
cosine_char62017-02-10.txt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosine_char82017-02-10.txt,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CovTestcosine&char2017-02-10.txt,-0.0030864197530864335,-0.0030864197530864335,0.0,0.0,1.0,-0.030864197530864168,0.043209876543209846,0.024691358024691357,0.009259259259259273,0.009259259259259273,-0.015432098765432056,0.018518518518518545,-0.0030864197530864335,-0.01851851851851838,-0.015432098765432056,-0.01851851851851838,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.0,0.0,0.0,-0.0030864197530864335
CovTestcosine&rarewords2017-02-10.txt,0.024691358024691357,0.024691358024691357,0.0,0.0,-0.030864197530864168,1.0,-0.0679012345679012,-0.19753086419753085,-0.07407407407407407,-0.07407407407407407,0.12345679012345678,0.018518518518518517,0.024691358024691357,0.09259259259259262,0.12345679012345678,0.14814814814814814,-0.19753086419753085,-0.19753086419753085,-0.19753086419753085,-0.19753086419753085,0.0,0.0,0.0,0.024691358024691357
CovTestcosine&words2017-02-10.txt,0.043209876543209846,0.043209876543209846,0.0,0.0,0.043209876543209846,-0.0679012345679012,1.0,0.09876543209876543,0.037037037037037035,0.037037037037037035,-0.06172839506172845,0.018518518518518545,0.043209876543209846,-0.01851851851851849,-0.06172839506172845,-0.07407407407407407,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0,0.0,0.0,0.043209876543209846
CovTestinter&char2017-02-10.txt,0.024691358024691357,0.024691358024691357,0.0,0.0,0.024691358024691357,-0.19753086419753085,0.09876543209876543,1.0,0.09259259259259259,0.09259259259259259,-0.15432098765432098,0.018518518518518517,0.024691358024691357,-0.12962962962962962,-0.15432098765432098,-0.18518518518518517,0.24691358024691357,0.24691358024691357,0.24691358024691357,0.24691358024691357,0.0,0.0,0.0,0.024691358024691357
CovTestinter&rarewords2017-02-10.txt,0.009259259259259273,0.009259259259259273,0.0,0.0,0.009259259259259273,-0.07407407407407407,0.037037037037037035,0.09259259259259259,1.0,0.1388888888888889,0.046296296296296294,0.1111111111111111,0.009259259259259273,0.05555555555555555,0.046296296296296294,0.0,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.0,0.0,0.0,0.009259259259259273
CovTestinter&words2017-02-10.txt,0.009259259259259273,0.009259259259259273,0.0,0.0,0.009259259259259273,-0.07407407407407407,0.037037037037037035,0.09259259259259259,0.1388888888888889,1.0,0.046296296296296294,0.1111111111111111,0.009259259259259273,0.05555555555555555,0.046296296296296294,0.0,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.0,0.0,0.0,0.009259259259259273
CovTestmanh&char2017-02-10.txt,-0.015432098765432056,-0.015432098765432056,0.0,0.0,-0.015432098765432056,0.12345679012345678,-0.06172839506172845,-0.15432098765432098,0.046296296296296294,0.046296296296296294,1.0,0.09259259259259259,-0.015432098765432056,0.18518518518518517,0.2006172839506173,0.18518518518518517,-0.15432098765432098,-0.15432098765432098,-0.15432098765432098,-0.15432098765432098,0.0,0.0,0.0,-0.015432098765432056
CovTestmanh&rarewords2017-02-10.txt,0.018518518518518545,0.018518518518518545,0.0,0.0,0.018518518518518545,0.018518518518518517,0.018518518518518545,0.018518518518518517,0.1111111111111111,0.1111111111111111,0.09259259259259259,1.0,0.018518518518518545,0.05555555555555558,0.09259259259259259,0.05555555555555558,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.018518518518518545
