Mys1000,1252017-03-22.txt,1262017-03-22.txt,1272017-03-22.txt,1282017-03-22.txt,1292017-03-22.txt,1302017-03-22.txt,1312017-03-22.txt,1322017-03-22.txt,1332017-03-22.txt,1342017-03-22.txt,1352017-03-22.txt,1362017-03-22.txt
1252017-03-22.txt,0.9999999999999996,0.7302967433402214,0.09128709291752768,0.9999999999999996,0.9999999999999996,0.9999999999999996,NaN,0.3999999999999999,0.2581988897471611,-0.3,0.3999999999999999,NaN
1262017-03-22.txt,0.7302967433402214,1.0000000000000002,0.4166666666666667,0.7302967433402214,0.7302967433402214,0.7302967433402214,NaN,-0.09128709291752772,-0.47140452079103157,-0.09128709291752768,-0.09128709291752772,NaN
1272017-03-22.txt,0.09128709291752768,0.4166666666666667,1.0000000000000002,0.09128709291752768,0.09128709291752768,0.09128709291752768,NaN,-0.09128709291752772,-0.47140452079103157,0.5477225575051662,-0.09128709291752772,NaN
1282017-03-22.txt,0.9999999999999996,0.7302967433402214,0.09128709291752768,0.9999999999999996,0.9999999999999996,0.9999999999999996,NaN,0.3999999999999999,0.2581988897471611,-0.3,0.3999999999999999,NaN
1292017-03-22.txt,0.9999999999999996,0.7302967433402214,0.09128709291752768,0.9999999999999996,0.9999999999999996,0.9999999999999996,NaN,0.3999999999999999,0.2581988897471611,-0.3,0.3999999999999999,NaN
1302017-03-22.txt,0.9999999999999996,0.7302967433402214,0.09128709291752768,0.9999999999999996,0.9999999999999996,0.9999999999999996,NaN,0.3999999999999999,0.2581988897471611,-0.3,0.3999999999999999,NaN
1312017-03-22.txt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1322017-03-22.txt,0.3999999999999999,-0.09128709291752772,-0.09128709291752772,0.3999999999999999,0.3999999999999999,0.3999999999999999,NaN,1.0,0.6454972243679027,-0.3999999999999999,1.0,NaN
1332017-03-22.txt,0.2581988897471611,-0.47140452079103157,-0.47140452079103157,0.2581988897471611,0.2581988897471611,0.2581988897471611,NaN,0.6454972243679027,1.0,-0.25819888974716104,0.6454972243679027,NaN
1342017-03-22.txt,-0.3,-0.09128709291752768,0.5477225575051662,-0.3,-0.3,-0.3,NaN,-0.3999999999999999,-0.25819888974716104,0.9999999999999996,-0.3999999999999999,NaN
1352017-03-22.txt,0.3999999999999999,-0.09128709291752772,-0.09128709291752772,0.3999999999999999,0.3999999999999999,0.3999999999999999,NaN,1.0,0.6454972243679027,-0.3999999999999999,1.0,NaN
1362017-03-22.txt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
