Mys0,1102017-03-22.txt,1112017-03-22.txt,1122017-03-22.txt,122017-03-22.txt,132017-03-22.txt,142017-03-22.txt,152017-03-22.txt,162017-03-22.txt,172017-03-22.txt,182017-03-22.txt,192017-03-22.txt,k52017-03-25.txt
1102017-03-22.txt,0.9999999999999999,-0.25819888974716104,NaN,-0.4714045207910316,-0.4714045207910316,0.2581988897471611,-0.4714045207910316,0.2581988897471611,NaN,-0.25819888974716104,-0.25819888974716104,-0.4714045207910316
1112017-03-22.txt,-0.25819888974716104,0.9999999999999996,NaN,-0.09128709291752768,-0.09128709291752768,-0.3,-0.09128709291752768,-0.3,NaN,0.9999999999999996,0.9999999999999996,-0.09128709291752768
1122017-03-22.txt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122017-03-22.txt,-0.4714045207910316,-0.09128709291752768,NaN,1.0000000000000002,1.0000000000000002,0.7302967433402214,1.0000000000000002,0.7302967433402214,NaN,-0.09128709291752768,-0.09128709291752768,1.0000000000000002
132017-03-22.txt,-0.4714045207910316,-0.09128709291752768,NaN,1.0000000000000002,1.0000000000000002,0.7302967433402214,1.0000000000000002,0.7302967433402214,NaN,-0.09128709291752768,-0.09128709291752768,1.0000000000000002
142017-03-22.txt,0.2581988897471611,-0.3,NaN,0.7302967433402214,0.7302967433402214,0.9999999999999996,0.7302967433402214,0.9999999999999996,NaN,-0.3,-0.3,0.7302967433402214
152017-03-22.txt,-0.4714045207910316,-0.09128709291752768,NaN,1.0000000000000002,1.0000000000000002,0.7302967433402214,1.0000000000000002,0.7302967433402214,NaN,-0.09128709291752768,-0.09128709291752768,1.0000000000000002
162017-03-22.txt,0.2581988897471611,-0.3,NaN,0.7302967433402214,0.7302967433402214,0.9999999999999996,0.7302967433402214,0.9999999999999996,NaN,-0.3,-0.3,0.7302967433402214
172017-03-22.txt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
182017-03-22.txt,-0.25819888974716104,0.9999999999999996,NaN,-0.09128709291752768,-0.09128709291752768,-0.3,-0.09128709291752768,-0.3,NaN,0.9999999999999996,0.9999999999999996,-0.09128709291752768
192017-03-22.txt,-0.25819888974716104,0.9999999999999996,NaN,-0.09128709291752768,-0.09128709291752768,-0.3,-0.09128709291752768,-0.3,NaN,0.9999999999999996,0.9999999999999996,-0.09128709291752768
k52017-03-25.txt,-0.4714045207910316,-0.09128709291752768,NaN,1.0000000000000002,1.0000000000000002,0.7302967433402214,1.0000000000000002,0.7302967433402214,NaN,-0.09128709291752768,-0.09128709291752768,1.0000000000000002
